Y,T,Inflation,Government_Debt,Trade_Balance,Exchange_Rate,Reserves,C_DRC,C_France,C_Germany,C_Ghana,C_Morocco,C_Nigeria
1.5456933762990588,-2.233953266541546,-1.1799107406892644,-1.160826346404388,-0.9010675120106282,1.5237150213131712,-1.2821505634701595,1,0,0,0,0,0
0.9252471945315168,-1.9204674366457697,-1.1713018708821132,-1.24937942521889,-1.7554651111490145,1.5236379289737148,-1.2584659441775214,1,0,0,0,0,0
0.673541637587062,-0.8502837809709717,-1.0213303379117151,-1.324797293387603,-0.9543993366702216,1.525938602261419,-1.3063383206186996,1,0,0,0,0,0
-0.9205935563944856,-1.2185845415784415,-1.2230372459195913,-1.137440414226752,-0.8089159238233034,1.5262458988823495,-1.4891738240444758,1,0,0,0,0,0
-0.0484418176824891,-2.304290800858422,-0.4911261181428034,-0.7075901928267784,-0.8417494621341415,1.5589182143224125,-1.760385670389505,1,0,0,0,0,0
0.2633844933092081,-2.0619502056818084,1.3442869082547022,-1.295340996908008,-0.7102339081266403,1.6980873469060949,-1.6270225533832223,1,0,0,0,0,0
0.1725353538600419,-2.1243564958524583,1.1804934336152952,-1.5996641865212442,-0.7710031641163132,1.7365248161722846,-1.5876620428069266,1,0,0,0,0,0
-0.57937487675747,-1.834669694009167,-0.2307123929930309,-1.5926955545930108,-0.7171271371642749,1.74231124089086,-1.2557674422369522,1,0,0,0,0,0
-0.5646786924348107,-1.9955244105835164,0.4229811041076666,-1.1789692298964798,-0.5242981248746562,1.785941332417584,-1.5347851556047831,1,0,0,0,0,0
1.4377432223653437,-1.2561343226718047,0.2429997706693837,-1.1904771594598509,-0.3321947156416304,1.8129485630657085,-0.9271716975565388,1,0,0,0,0,0
1.2448224027115251,-2.749468920931732,0.2661322070701277,-1.337361252510186,-1.0672306119704502,1.816197853765566,-0.6045085809489186,1,0,0,0,0,0
-0.5326142902762814,0.0608984847261897,-0.828099191732304,0.2822922713788425,0.06053793873939,-1.0049127522323882,0.6992630351342886,0,1,0,0,0,0
-0.7266039233353836,0.0747540814270343,-0.8374640766083161,0.2738422330619158,0.1289768190372519,-0.9961466247761764,0.5836556461419049,0,1,0,0,0,0
-0.7602715456018393,-0.0540830540400857,-0.792219155799798,0.3245701848423035,0.0699707784751004,-1.0137228113731296,0.4839438596747258,0,1,0,0,0,0
-0.3527864348371963,-0.0932013975781659,-0.7271224708587645,0.4327762402901574,0.012829537768393,-1.0809092797721596,0.5067947193982208,0,1,0,0,0,0
