Country,Year,GDP_Growth,Capital_Formation_lag1,Inflation_lag1,Exchange_Rate_lag1,Government_Debt_lag1,Trade_Balance_lag1,Reserves_lag1
DRC,2019,4.485,2.523085153362838,3.410024970264834,7.391737933294862,2.9607318190059737,-3.481,6.473441812895164
DRC,2020,1.671,2.592190315007675,1.741342983314039,7.407172146038286,2.964912176214104,-3.184,7.039961979750318
DRC,2021,1.726,2.45238345808244,2.514303626638788,7.523547308144317,3.2130991720907462,-2.121,6.563698849041866
DRC,2022,9.22,2.6466002387859877,2.3014844875500127,7.595584077601592,3.206195771710826,-1.062,7.600851237317476
DRC,2023,8.498,2.483572426774864,2.3288374641381115,7.604250956782764,3.118082640831452,-5.114,8.151613926269428
France,2001,1.846,3.084566987254482,1.0349622615916536,0.0794626145222072,4.089683717339906,1.103,10.377058125168798
France,2002,1.12,3.068750366290563,1.0238887424721732,0.1028446306505465,4.084614691030161,1.4802799999999992,10.179724642824768
France,2003,0.994,3.030133700271324,1.077388652216483,0.0559634187884673,4.115045478746134,1.155,10.009523808554484
France,2004,2.519,3.028332533797455,1.1543623037726016,-0.1232440015415973,4.179956349131195,0.84,10.04852857947003
France,2005,1.988,3.061707262477524,1.204472679367587,-0.2182534676022543,4.202855111311035,0.535,10.27769409595804
France,2006,2.929,3.086988793825544,1.0605642210305797,-0.2184045579008269,4.222268596288679,0.104,10.085653972296956
France,2007,2.486,3.121703913115927,1.0619483042965183,-0.2276126090064076,4.180522258463153,0.254,10.603784884727975
France,2008,0.265,3.1599322892342507,0.9574326752053304,-0.3151596127109035,4.181729480547589,-0.102,10.682523626169615
France,2009,-2.732,3.155595178940458,1.4257554300008042,-0.3730471307037385,4.245906179030638,-0.697,10.32161228833307
France,2010,1.843,3.03100288763591,0.0971267107307227,-0.3327384331266675,4.431495140146391,-0.55,10.23022210283658
France,2011,2.485,3.060489520769269,1.007227726866257,-0.2819531937182198,4.457586231282255,-0.629,10.497118771377032
France,2012,0.221,3.1135153092103742,1.1899752946820823,-0.3307094155035119,4.485800892890336,-0.858,10.17149475028102
France,2013,0.915,3.0832851705618523,1.1684492482568891,-0.2505942471377104,4.518958489169026,-2.1130400000000003,10.3205570024049
France,2014,1.02,3.0689827352935835,0.6876319998718352,-0.2837629320557902,4.549086488551176,-0.609,10.218799991321715
France,2015,0.986,3.0836057788042304,0.4768551041948373,-0.2840510765929425,4.565805462465814,-0.913,10.263174529744852
France,2016,0.728,3.078095363979114,0.0881078919779992,-0.1039210817322116,4.574123176915894,-0.325,10.501564927649518
