Country,Year,GDP_Growth,Capital_Formation,Inflation,Government_Debt,Trade_Balance,Exchange_Rate,Reserves
DRC,2014,7.302,2.7586165646728977,0.8064758658669484,3.1256195343884134,-4.492,6.830038337359764,6.953641134489086
DRC,2015,6.36,2.8070505336073537,0.567967295614495,3.2380115631766766,-3.69,6.830857993996367,6.6415541052637375
DRC,2016,0.394,2.5004518611234627,1.4334164681886254,3.4958709952648364,-3.871,6.918005324489307,6.178615027072597
DRC,2017,3.658,2.515678308454754,3.603702756706343,3.1432898379116057,-3.146,7.289213126211693,6.406256257658974
DRC,2018,4.825,2.523085153362838,3.410024970264834,2.9607318190059737,-3.481,7.391737933294862,6.473441812895164
DRC,2019,4.485,2.592190315007675,1.741342983314039,2.9649121762141037,-3.184,7.407172146038286,7.039961979750318
DRC,2020,1.671,2.45238345808244,2.514303626638788,3.2130991720907462,-2.121,7.523547308144317,6.563698849041866
DRC,2021,1.726,2.6466002387859873,2.3014844875500127,3.206195771710826,-1.062,7.595584077601592,7.600851237317476
DRC,2022,9.22,2.4835724267748636,2.3288374641381115,3.1180826408314517,-5.114,7.604250956782764,8.151613926269428
DRC,2023,8.498,2.762159526749242,3.039462036415316,3.221312852901618,-6.495,7.722577249272324,8.304174894373933
France,2000,4.364,3.084566987254482,1.0349622615916536,4.089683717339906,1.103,0.07946261452220722,10.377058125168798
France,2001,1.846,3.068750366290563,1.0238887424721732,4.084614691030161,1.4802799999999992,0.1028446306505465,10.179724642824768
France,2002,1.12,3.0301337002713233,1.077388652216483,4.115045478746134,1.155,0.05596341878846735,10.009523808554485
France,2003,0.994,3.028332533797455,1.1543623037726016,4.179956349131195,0.84,-0.12324400154159738,10.04852857947003
France,2004,2.519,3.061707262477524,1.204472679367587,4.202855111311035,0.535,-0.21825346760225436,10.27769409595804
France,2005,1.988,3.0869887938255434,1.0605642210305797,4.222268596288679,0.104,-0.21840455790082697,10.085653972296955
France,2006,2.929,3.121703913115927,1.0619483042965183,4.180522258463153,0.254,-0.2276126090064076,10.603784884727977
France,2007,2.486,3.1599322892342507,0.9574326752053303,4.181729480547589,-0.102,-0.31515961271090354,10.682523626169615
France,2008,0.265,3.155595178940458,1.4257554300008042,4.245906179030638,-0.697,-0.3730471307037385,10.32161228833307
France,2009,-2.732,3.03100288763591,0.09712671073072274,4.431495140146391,-0.55,-0.3327384331266675,10.23022210283658
France,2010,1.843,3.0604895207692695,1.007227726866257,4.457586231282255,-0.629,-0.2819531937182198,10.497118771377032
France,2011,2.485,3.1135153092103742,1.1899752946820823,4.485800892890336,-0.858,-0.3307094155035119,10.17149475028102
France,2012,0.221,3.0832851705618523,1.1684492482568893,4.518958489169026,-2.1130400000000003,-0.2505942471377104,10.3205570024049
France,2013,0.915,3.0689827352935835,0.6876319998718352,4.5490864885511755,-0.609,-0.2837629320557902,10.218799991321715
France,2014,1.02,3.0836057788042304,0.47685510419483734,4.565805462465814,-0.913,-0.28405107659294254,10.263174529744852
France,2015,0.986,3.078095363979114,0.08810789197799926,4.574123176915894,-0.325,-0.10392108173221168,10.501564927649518
France,2016,0.728,3.072600717810568,0.2677344346420849,4.586252367133446,-0.528,-0.10156612762023082,10.576052193447305
France,2017,2.286,3.0992360665686522,0.7728821485787989,4.592307819271147,-0.547,-0.12193544819765716,10.53855981910402
France,2018,1.587,3.1184807388130444,1.1310794788056113,4.589955020181611,-0.698,-0.1663230181024169,10.789930848518054
