Country,Year,Variable,Value
Ghana,2003,GDP_Growth,5.112
Ghana,2003,Capital_Formation,30.309
Ghana,2003,Inflation,26.626
Ghana,2003,Government_Debt,49.299
Ghana,2003,Trade_Balance,0.541
Nigeria,2003,GDP_Growth,9.503
Nigeria,2003,Capital_Formation,17.546
Nigeria,2003,Inflation,14.033
Nigeria,2003,Government_Debt,42.085
Nigeria,2003,Trade_Balance,3.294
Angola,2004,GDP_Growth,11.42
Angola,2004,Capital_Formation,31.18
Angola,2004,Inflation,43.525
Angola,2004,Government_Debt,41.627
Angola,2004,Trade_Balance,2.523
DRC,2004,GDP_Growth,7.661
DRC,2004,Capital_Formation,10.124
DRC,2004,Inflation,4.001
DRC,2004,Government_Debt,164.086
DRC,2004,Trade_Balance,2.042
Ghana,2004,GDP_Growth,5.404
Ghana,2004,Capital_Formation,38.654
Ghana,2004,Inflation,12.666
Ghana,2004,Government_Debt,38.364
Ghana,2004,Trade_Balance,-2.713
Nigeria,2004,GDP_Growth,10.442
Nigeria,2004,Capital_Formation,16.553
Nigeria,2004,Inflation,15.001
Nigeria,2004,Government_Debt,35.488
Nigeria,2004,Trade_Balance,12.92
Angola,2005,GDP_Growth,14.15
Angola,2005,Capital_Formation,27.321
Angola,2005,Inflation,22.961
Angola,2005,Government_Debt,29.886
Angola,2005,Trade_Balance,12.411
DRC,2005,GDP_Growth,9.804
DRC,2005,Capital_Formation,17.038
DRC,2005,Inflation,21.545
DRC,2005,Government_Debt,111.998
DRC,2005,Trade_Balance,0.992
Ghana,2005,GDP_Growth,6.23
Ghana,2005,Capital_Formation,39.845
Ghana,2005,Inflation,15.095
Ghana,2005,Government_Debt,31.695
Ghana,2005,Trade_Balance,-4.182
Nigeria,2005,GDP_Growth,7.008
Nigeria,2005,Capital_Formation,15.576
Nigeria,2005,Inflation,17.856
Nigeria,2005,Government_Debt,18.94
Nigeria,2005,Trade_Balance,21.533
Angola,2006,GDP_Growth,11.84
Angola,2006,Capital_Formation,24.654
Angola,2006,Inflation,13.305
Angola,2006,Government_Debt,16.726
Angola,2006,Trade_Balance,18.225
DRC,2006,GDP_Growth,5.109
DRC,2006,Capital_Formation,6.478
DRC,2006,Inflation,12.845
DRC,2006,Government_Debt,107.549
DRC,2006,Trade_Balance,0.334
Ghana,2006,GDP_Growth,5.817
Ghana,2006,Capital_Formation,36.187
Ghana,2006,Inflation,11.683
Ghana,2006,Government_Debt,17.291
Ghana,2006,Trade_Balance,-3.36
Nigeria,2006,GDP_Growth,6.726
Nigeria,2006,Capital_Formation,16.268
Nigeria,2006,Inflation,8.218
Nigeria,2006,Government_Debt,9.404
Nigeria,2006,Trade_Balance,16.391
Angola,2007,GDP_Growth,13.0
Angola,2007,Capital_Formation,26.305
Angola,2007,Inflation,12.249
Angola,2007,Government_Debt,18.804
Angola,2007,Trade_Balance,14.487
DRC,2007,GDP_Growth,8.53
DRC,2007,Capital_Formation,5.864
DRC,2007,Inflation,16.672
DRC,2007,Government_Debt,85.089
DRC,2007,Trade_Balance,2.83
Ghana,2007,GDP_Growth,4.074
Ghana,2007,Capital_Formation,34.605
Ghana,2007,Inflation,10.729
Ghana,2007,Government_Debt,21.061
Ghana,2007,Trade_Balance,-5.9
Nigeria,2007,GDP_Growth,7.318
Nigeria,2007,Capital_Formation,18.654
Nigeria,2007,Inflation,5.401
Nigeria,2007,Government_Debt,8.116
Nigeria,2007,Trade_Balance,10.381
Angola,2008,GDP_Growth,10.79
Angola,2008,Capital_Formation,32.388
Angola,2008,Inflation,12.465
Angola,2008,Government_Debt,28.122
Angola,2008,Trade_Balance,7.282
DRC,2008,GDP_Growth,7.402
DRC,2008,Capital_Formation,4.619
DRC,2008,Inflation,17.966
DRC,2008,Government_Debt,80.301
DRC,2008,Trade_Balance,-0.622
Ghana,2008,GDP_Growth,9.003
Ghana,2008,Capital_Formation,37.737
Ghana,2008,Inflation,16.505
Ghana,2008,Government_Debt,23.186
Ghana,2008,Trade_Balance,-8.241
Nigeria,2008,GDP_Growth,7.199
Nigeria,2008,Capital_Formation,15.611
Nigeria,2008,Inflation,11.583
Nigeria,2008,Government_Debt,7.276
Nigeria,2008,Trade_Balance,8.69
Angola,2009,GDP_Growth,2.0
Angola,2009,Capital_Formation,42.849
Angola,2009,Inflation,13.721
Angola,2009,Government_Debt,48.448
Angola,2009,Trade_Balance,-9.267
DRC,2009,GDP_Growth,0.565
DRC,2009,Capital_Formation,11.655
DRC,2009,Inflation,46.101
DRC,2009,Government_Debt,91.617
DRC,2009,Trade_Balance,-5.915
Ghana,2009,GDP_Growth,5.681
Ghana,2009,Capital_Formation,36.036
Ghana,2009,Inflation,13.139
Ghana,2009,Government_Debt,25.39
Ghana,2009,Trade_Balance,-3.767
Nigeria,2009,GDP_Growth,8.353
Nigeria,2009,Capital_Formation,19.418
Nigeria,2009,Inflation,12.542
Nigeria,2009,Government_Debt,8.617
Nigeria,2009,Trade_Balance,4.586
Angola,2010,GDP_Growth,5.29
Angola,2010,Capital_Formation,28.158
Angola,2010,Inflation,14.48
Angola,2010,Government_Debt,32.594
Angola,2010,Trade_Balance,7.856
DRC,2010,GDP_Growth,7.843
DRC,2010,Capital_Formation,27.671
DRC,2010,Inflation,23.461
DRC,2010,Government_Debt,31.796
DRC,2010,Trade_Balance,-9.719
Ghana,2010,GDP_Growth,7.778
Ghana,2010,Capital_Formation,45.718
Ghana,2010,Inflation,6.698
Ghana,2010,Government_Debt,32.924
Ghana,2010,Trade_Balance,-6.094
Nigeria,2010,GDP_Growth,11.259
Nigeria,2010,Capital_Formation,17.291
Nigeria,2010,Inflation,13.735
Nigeria,2010,Government_Debt,9.393
Nigeria,2010,Trade_Balance,3.505
Angola,2011,GDP_Growth,3.59
Angola,2011,Capital_Formation,26.456
Angola,2011,Inflation,13.484
Angola,2011,Government_Debt,26.318
Angola,2011,Trade_Balance,10.422
DRC,2011,GDP_Growth,7.593
DRC,2011,Capital_Formation,20.745
DRC,2011,Inflation,14.95
DRC,2011,Government_Debt,29.321
DRC,2011,Trade_Balance,-4.852
Ghana,2011,GDP_Growth,13.955
Ghana,2011,Capital_Formation,23.201
Ghana,2011,Inflation,7.676
Ghana,2011,Government_Debt,31.221
Ghana,2011,Trade_Balance,-6.604
Nigeria,2011,GDP_Growth,4.887
Nigeria,2011,Capital_Formation,16.212
Nigeria,2011,Inflation,10.834
Nigeria,2011,Government_Debt,17.431
Nigeria,2011,Trade_Balance,2.54
Angola,2012,GDP_Growth,8.5
Angola,2012,Capital_Formation,26.654
Angola,2012,Inflation,10.285
Angola,2012,Government_Debt,23.805
Angola,2012,Trade_Balance,9.649
DRC,2012,GDP_Growth,8.669
DRC,2012,Capital_Formation,12.282
DRC,2012,Inflation,0.857
DRC,2012,Government_Debt,25.128
DRC,2012,Trade_Balance,-4.198
Ghana,2012,GDP_Growth,8.422
Ghana,2012,Capital_Formation,31.185
Ghana,2012,Inflation,7.072
Ghana,2012,Government_Debt,35.473
Ghana,2012,Trade_Balance,-8.8
Nigeria,2012,GDP_Growth,4.279
Nigeria,2012,Capital_Formation,14.908
Nigeria,2012,Inflation,12.246
Nigeria,2012,Government_Debt,17.577
Nigeria,2012,Trade_Balance,3.719
Angola,2013,GDP_Growth,4.88
Angola,2013,Capital_Formation,26.127
Angola,2013,Inflation,8.782
Angola,2013,Government_Debt,29.473
Angola,2013,Trade_Balance,5.429
DRC,2013,GDP_Growth,9.624
DRC,2013,Capital_Formation,14.55
DRC,2013,Inflation,0.876
